system:index,GEOID,Presence,STATEFP,TRACTCE,Urbanized,.geo
00000000000000000000,090019900000,0.008409528034368764,09,990000,"Bridgeport--Stamford, CT--NY",
0000000000000000025d,090099900000,0.0,09,990000,"Bridgeport--Stamford, CT--NY",
00000000000000000001,090010805001,6.071457778052114,09,080500,"Bridgeport--Stamford, CT--NY",
00000000000000000002,090010901001,10.36201131389052,09,090100,"Bridgeport--Stamford, CT--NY",
00000000000000000003,090010113001,8.80279268958702,09,011300,"Bridgeport--Stamford, CT--NY",
00000000000000000004,090010703001,11.11533490052635,09,070300,"Bridgeport--Stamford, CT--NY",
00000000000000000005,090011001001,6.080352455223283,09,100100,"Bridgeport--Stamford, CT--NY",
00000000000000000006,090010444001,24.481437680150734,09,044400,"Bridgeport--Stamford, CT--NY",
00000000000000000007,090012112001,21.778251003273162,09,211200,"Danbury, CT--NY",
00000000000000000008,090012305011,7.932094149732099,09,230501,"Bridgeport--Stamford, CT--NY",
00000000000000000009,090012401001,4.380628451827456,09,240100,"Bridgeport--Stamford, CT--NY",
0000000000000000000a,090010303001,7.707307841550814,09,030300,"Bridgeport--Stamford, CT--NY",
0000000000000000000b,090012305021,3.5734038079727357,09,230502,"Bridgeport--Stamford, CT--NY",
0000000000000000000c,090011003001,8.721434886268694,09,100300,"Bridgeport--Stamford, CT--NY",
0000000000000000000d,090012453001,9.227778791848301,09,245300,"Bridgeport--Stamford, CT--NY",
0000000000000000000e,090010101021,8.813678742731197,09,010102,"Bridgeport--Stamford, CT--NY",
0000000000000000000f,090010602001,5.973273495823457,09,060200,"Bridgeport--Stamford, CT--NY",
00000000000000000010,090010504001,7.697078664794022,09,050400,"Bridgeport--Stamford, CT--NY",
00000000000000000011,090010726001,8.155778911987094,09,072600,"Bridgeport--Stamford, CT--NY",
00000000000000000012,090010727001,13.122671466956705,09,072700,"Bridgeport--Stamford, CT--NY",
00000000000000000013,090010740001,8.914102969315174,09,074000,"Bridgeport--Stamford, CT--NY",
00000000000000000014,090010743001,9.944550827920883,09,074300,"Bridgeport--Stamford, CT--NY",
00000000000000000015,090010605001,12.91742031380645,09,060500,"Bridgeport--Stamford, CT--NY",
00000000000000000016,090010203001,21.660100927267035,09,020300,"Bridgeport--Stamford, CT--NY",
00000000000000000017,090012451001,11.64860444027985,09,245100,"Bridgeport--Stamford, CT--NY",
00000000000000000018,090010354001,6.1621442688568075,09,035400,"Bridgeport--Stamford, CT--NY",
00000000000000000019,090010352001,8.11941570139465,09,035200,"Bridgeport--Stamford, CT--NY",
0000000000000000001a,090012452001,9.073756369559781,09,245200,"Bridgeport--Stamford, CT--NY",
0000000000000000001b,090011002001,6.45574185724807,09,100200,"Bridgeport--Stamford, CT--NY",
0000000000000000001c,090010730001,14.673569681345107,09,073000,"Bridgeport--Stamford, CT--NY",
0000000000000000001d,090012105001,16.82969519521958,09,210500,"Danbury, CT--NY",
0000000000000000001e,090012402001,5.675128314570447,09,240200,"Danbury, CT--NY",
0000000000000000001f,090010704001,14.194934109635556,09,070400,"Bridgeport--Stamford, CT--NY",
00000000000000000020,090010427001,19.164720076438627,09,042700,"Bridgeport--Stamford, CT--NY",
00000000000000000021,090010603001,7.078678733299872,09,060300,"Bridgeport--Stamford, CT--NY",
00000000000000000022,090010734001,17.187959035265227,09,073400,"Bridgeport--Stamford, CT--NY",
00000000000000000023,090010108001,4.371026397910866,09,010800,"Bridgeport--Stamford, CT--NY",
00000000000000000024,090012051001,7.0248506842564,09,205100,"Danbury, CT--NY",
00000000000000000025,090012108001,23.505838868234687,09,210800,"Danbury, CT--NY",
00000000000000000026,090012109001,18.211353117028697,09,210900,"Danbury, CT--NY",
00000000000000000027,090012113001,7.6604726542235,09,211300,"Danbury, CT--NY",
00000000000000000028,090012201001,6.090903437241104,09,220100,"Danbury, CT--NY",
00000000000000000029,090012203001,6.421789916013937,09,220300,"Danbury, CT--NY",
0000000000000000002a,090012110001,12.468424756462072,09,211000,"Danbury, CT--NY",
0000000000000000002b,090010204001,21.358043974780543,09,020400,"Bridgeport--Stamford, CT--NY",
0000000000000000002c,090010205001,18.765838903258338,09,020500,"Bridgeport--Stamford, CT--NY",
0000000000000000002d,090010207001,13.799696357109877,09,020700,"Bridgeport--Stamford, CT--NY",
0000000000000000002e,090010112001,7.283260000942112,09,011200,"Bridgeport--Stamford, CT--NY",
0000000000000000002f,090010451011,9.44759025953793,09,045101,"Bridgeport--Stamford, CT--NY",
00000000000000000030,090012303001,2.8764963341218843,09,230300,"Danbury, CT--NY",
00000000000000000031,090010101011,4.505700987122617,09,010101,"Bridgeport--Stamford, CT--NY",
00000000000000000032,090010102011,6.869184332983733,09,010201,"Bridgeport--Stamford, CT--NY",
00000000000000000033,090010102021,6.152972056338044,09,010202,"Bridgeport--Stamford, CT--NY",
00000000000000000034,090010107001,4.672131219754673,09,010700,"Bridgeport--Stamford, CT--NY",
00000000000000000035,090010451021,16.5430942187473,09,045102,"Bridgeport--Stamford, CT--NY",
00000000000000000036,090010906001,11.413065749490409,09,090600,"Bridgeport--Stamford, CT--NY",
00000000000000000037,090012301001,7.738079261022263,09,230100,"Bridgeport--Stamford, CT--NY",
00000000000000000038,090010301001,13.385118628965458,09,030100,"Bridgeport--Stamford, CT--NY",
00000000000000000039,090011102011,19.64972673172615,09,110201,"Bridgeport--Stamford, CT--NY",
0000000000000000003a,090011102021,12.098499729959627,09,110202,"Bridgeport--Stamford, CT--NY",
0000000000000000003b,090012456001,10.831089217306928,09,245600,"Bridgeport--Stamford, CT--NY",
0000000000000000003c,090012052001,12.151414714511544,09,205200,"Danbury, CT--NY",
0000000000000000003d,090010701001,11.914593096358677,09,070100,"Bridgeport--Stamford, CT--NY",
0000000000000000003e,090010506001,6.430225448792845,09,050600,"Bridgeport--Stamford, CT--NY",
0000000000000000003f,090010551001,11.570546287750187,09,055100,"Bridgeport--Stamford, CT--NY",
00000000000000000040,090011104001,12.395280821367272,09,110400,"Bridgeport--Stamford, CT--NY",
00000000000000000041,090010428001,13.301949112449563,09,042800,"Bridgeport--Stamford, CT--NY",
00000000000000000042,090010738001,4.595479598389813,09,073800,"Bridgeport--Stamford, CT--NY",
00000000000000000043,090010429001,9.041150780812378,09,042900,"Bridgeport--Stamford, CT--NY",
00000000000000000044,090010430001,11.14673040041816,09,043000,"Bridgeport--Stamford, CT--NY",
00000000000000000045,090010606001,7.014830350649839,09,060600,"Bridgeport--Stamford, CT--NY",
00000000000000000046,090010806001,8.951075415098426,09,080600,"Bridgeport--Stamford, CT--NY",
00000000000000000047,090011106001,7.649342388315861,09,110600,"Bridgeport--Stamford, CT--NY",
00000000000000000048,090010433001,19.562958770561323,09,043300,"Bridgeport--Stamford, CT--NY",
