OID,Province_S,Country_Re,Lat,Lon,date,number_of_cases,number_of_deaths,number_of_recovered,coordinate,
,Nova Scotia,Canada,44.682,-63.7443,1/23/2020 0:00,0,0,0,"-63.7443,44.682",
,Ontario,Canada,51.2538,-85.3232,1/23/2020 0:00,0,0,0,"-85.3232,51.2538",
,Prince Edward Island,Canada,46.5107,-63.4168,1/23/2020 0:00,0,0,0,"-63.4168,46.5107",
,Quebec,Canada,52.9399,-73.5491,1/23/2020 0:00,0,0,0,"-73.5491,52.9399",
,Recovered,Canada,0,0,1/23/2020 0:00,0,0,0,"0,0",
,Saskatchewan,Canada,52.9399,-106.4509,1/23/2020 0:00,0,0,0,"-106.4509,52.9399",
,Yukon,Canada,64.2823,-135,1/23/2020 0:00,0,0,0,"-135,64.2823",
, ,Central African Republic,6.6111,20.9394,1/23/2020 0:00,0,0,0,"20.9394,6.6111",
, ,Chad,15.4542,18.7322,1/23/2020 0:00,0,0,0,"18.7322,15.4542",
, ,Chile,-35.6751,-71.543,1/23/2020 0:00,0,0,0,"-71.543,-35.6751",
,Anhui,China,31.8257,117.2264,1/23/2020 0:00,9,0,0,"117.2264,31.8257",
,Beijing,China,40.1824,116.4142,1/23/2020 0:00,22,0,0,"116.4142,40.1824",
,Chongqing,China,30.0572,107.874,1/23/2020 0:00,9,0,0,"107.874,30.0572",
,Fujian,China,26.0789,117.9874,1/23/2020 0:00,5,0,0,"117.9874,26.0789",
,Gansu,China,37.8099,101.0583,1/23/2020 0:00,2,0,0,"101.0583,37.8099",
,Guangdong,China,23.3417,113.4244,1/23/2020 0:00,32,0,0,"113.4244,23.3417",
,Guangxi,China,23.8298,108.7881,1/23/2020 0:00,5,0,0,"108.7881,23.8298",
,Guizhou,China,26.8154,106.8748,1/23/2020 0:00,3,0,0,"106.8748,26.8154",
,Hainan,China,19.1959,109.7453,1/23/2020 0:00,5,0,0,"109.7453,19.1959",
,Hebei,China,39.549,116.1306,1/23/2020 0:00,1,1,0,"116.1306,39.549",
,Heilongjiang,China,47.862,127.7615,1/23/2020 0:00,2,0,0,"127.7615,47.862",
,Henan,China,33.882,113.614,1/23/2020 0:00,5,0,0,"113.614,33.882",
,Hong Kong,China,22.3,114.2,1/23/2020 0:00,2,0,0,"114.2,22.3",
,Hubei,China,30.9756,112.2707,1/23/2020 0:00,444,17,0,"112.2707,30.9756",
,Hunan,China,27.6104,111.7088,1/23/2020 0:00,9,0,0,"111.7088,27.6104",
,Inner Mongolia,China,44.0935,113.9448,1/23/2020 0:00,0,0,0,"113.9448,44.0935",
,Jiangsu,China,32.9711,119.455,1/23/2020 0:00,5,0,0,"119.455,32.9711",
,Jiangxi,China,27.614,115.7221,1/23/2020 0:00,7,0,0,"115.7221,27.614",
,Jilin,China,43.6661,126.1923,1/23/2020 0:00,1,0,0,"126.1923,43.6661",
,Liaoning,China,41.2956,122.6085,1/23/2020 0:00,3,0,0,"122.6085,41.2956",
,Macau,China,22.1667,113.55,1/23/2020 0:00,2,0,0,"113.55,22.1667",
,Ningxia,China,37.2692,106.1655,1/23/2020 0:00,1,0,0,"106.1655,37.2692",
,Qinghai,China,35.7452,95.9956,1/23/2020 0:00,0,0,0,"95.9956,35.7452",
,Shaanxi,China,35.1917,108.8701,1/23/2020 0:00,3,0,0,"108.8701,35.1917",
,Shandong,China,36.3427,118.1498,1/23/2020 0:00,6,0,0,"118.1498,36.3427",
,Shanghai,China,31.202,121.4491,1/23/2020 0:00,16,0,0,"121.4491,31.202",
,Shanxi,China,37.5777,112.2922,1/23/2020 0:00,1,0,0,"112.2922,37.5777",
,Sichuan,China,30.6171,102.7103,1/23/2020 0:00,8,0,0,"102.7103,30.6171",
,Tianjin,China,39.3054,117.323,1/23/2020 0:00,4,0,0,"117.323,39.3054",
,Tibet,China,31.6927,88.0924,1/23/2020 0:00,0,0,0,"88.0924,31.6927",
,Xinjiang,China,41.1129,85.2401,1/23/2020 0:00,2,0,0,"85.2401,41.1129",
,Yunnan,China,24.974,101.487,1/23/2020 0:00,2,0,0,"101.487,24.974",
,Zhejiang,China,29.1832,120.0934,1/23/2020 0:00,27,0,0,"120.0934,29.1832",
, ,Colombia,4.5709,-74.2973,1/23/2020 0:00,0,0,0,"-74.2973,4.5709",
, ,Congo (Brazzaville),-4.0383,21.7587,1/23/2020 0:00,0,0,0,"21.7587,-4.0383",
, ,Congo (Kinshasa),-4.0383,21.7587,1/23/2020 0:00,0,0,0,"21.7587,-4.0383",
, ,Costa Rica,9.7489,-83.7534,1/23/2020 0:00,0,0,0,"-83.7534,9.7489",
, ,Cote d'Ivoire,7.54,-5.5471,1/23/2020 0:00,0,0,0,"-5.5471,7.54",
, ,Croatia,45.1,15.2,1/23/2020 0:00,0,0,0,"15.2,45.1",
, ,Cuba,22,-80,1/23/2020 0:00,0,0,0,"-80,22",
, ,Cyprus,35.1264,33.4299,1/23/2020 0:00,0,0,0,"33.4299,35.1264",
, ,Czechia,49.8175,15.473,1/23/2020 0:00,0,0,0,"15.473,49.8175",
,Faroe Islands,Denmark,61.8926,-6.9118,1/23/2020 0:00,0,0,0,"-6.9118,61.8926",
,Greenland,Denmark,71.7069,-42.6043,1/23/2020 0:00,0,0,0,"-42.6043,71.7069",
, ,Denmark,56.2639,9.5018,1/23/2020 0:00,0,0,0,"9.5018,56.2639",
, ,Diamond Princess,0,0,1/23/2020 0:00,0,0,0,"0,0",
, ,Djibouti,11.8251,42.5903,1/23/2020 0:00,0,0,0,"42.5903,11.8251",
, ,Dominica,15.415,-61.371,1/23/2020 0:00,0,0,0,"-61.371,15.415",
, ,Dominican Republic,18.7357,-70.1627,1/23/2020 0:00,0,0,0,"-70.1627,18.7357",
, ,Ecuador,-1.8312,-78.1834,1/23/2020 0:00,0,0,0,"-78.1834,-1.8312",
, ,Egypt,26,30,1/23/2020 0:00,0,0,0,"30,26",
, ,El Salvador,13.7942,-88.8965,1/23/2020 0:00,0,0,0,"-88.8965,13.7942",
, ,Equatorial Guinea,1.5,10,1/23/2020 0:00,0,0,0,"10,1.5",
, ,Eritrea,15.1794,39.7823,1/23/2020 0:00,0,0,0,"39.7823,15.1794",
, ,Estonia,58.5953,25.0136,1/23/2020 0:00,0,0,0,"25.0136,58.5953",
, ,Eswatini,-26.5225,31.4659,1/23/2020 0:00,0,0,0,"31.4659,-26.5225",
, ,Ethiopia,9.145,40.4897,1/23/2020 0:00,0,0,0,"40.4897,9.145",
, ,Fiji,-17.7134,178.065,1/23/2020 0:00,0,0,0,"178.065,-17.7134",
, ,Finland,64,26,1/23/2020 0:00,0,0,0,"26,64",
,French Guiana,France,3.9339,-53.1258,1/23/2020 0:00,0,0,0,"-53.1258,3.9339",
,French Polynesia,France,-17.6797,149.4068,1/23/2020 0:00,0,0,0,"149.4068,-17.6797",
,Guadeloupe,France,16.25,-61.5833,1/23/2020 0:00,0,0,0,"-61.5833,16.25",
,Martinique,France,14.6415,-61.0242,1/23/2020 0:00,0,0,0,"-61.0242,14.6415",
,Mayotte,France,-12.8275,45.1662,1/23/2020 0:00,0,0,0,"45.1662,-12.8275",
,New Caledonia,France,-20.9043,165.618,1/23/2020 0:00,0,0,0,"165.618,-20.9043",
,Reunion,France,-21.1351,55.2471,1/23/2020 0:00,0,0,0,"55.2471,-21.1351",
,Saint Barthelemy,France,17.9,-62.8333,1/23/2020 0:00,0,0,0,"-62.8333,17.9",
,St Martin,France,18.0708,-63.0501,1/23/2020 0:00,0,0,0,"-63.0501,18.0708",
, ,France,46.2276,2.2137,1/23/2020 0:00,0,0,0,"2.2137,46.2276",
, ,Gabon,-0.8037,11.6094,1/23/2020 0:00,0,0,0,"11.6094,-0.8037",
, ,Gambia,13.4432,-15.3101,1/23/2020 0:00,0,0,0,"-15.3101,13.4432",
, ,Georgia,42.3154,43.3569,1/23/2020 0:00,0,0,0,"43.3569,42.3154",
, ,Germany,51,9,1/23/2020 0:00,0,0,0,"9,51",
, ,Ghana,7.9465,-1.0232,1/23/2020 0:00,0,0,0,"-1.0232,7.9465",
, ,Greece,39.0742,21.8243,1/23/2020 0:00,0,0,0,"21.8243,39.0742",
, ,Grenada,12.1165,-61.679,1/23/2020 0:00,0,0,0,"-61.679,12.1165",
, ,Guatemala,15.7835,-90.2308,1/23/2020 0:00,0,0,0,"-90.2308,15.7835",
, ,Guinea,9.9456,-9.6966,1/23/2020 0:00,0,0,0,"-9.6966,9.9456",
, ,Guinea-Bissau,11.8037,-15.1804,1/23/2020 0:00,0,0,0,"-15.1804,11.8037",
, ,Guyana,5,-58.75,1/23/2020 0:00,0,0,0,"-58.75,5",
, ,Haiti,18.9712,-72.2852,1/23/2020 0:00,0,0,0,"-72.2852,18.9712",
, ,Holy See,41.9029,12.4534,1/23/2020 0:00,0,0,0,"12.4534,41.9029",
, ,Honduras,15.2,-86.2419,1/23/2020 0:00,0,0,0,"-86.2419,15.2",
, ,Hungary,47.1625,19.5033,1/23/2020 0:00,0,0,0,"19.5033,47.1625",
, ,Iceland,64.9631,-19.0208,1/23/2020 0:00,0,0,0,"-19.0208,64.9631",
, ,India,21,78,1/23/2020 0:00,0,0,0,"78,21",
, ,Indonesia,-0.7893,113.9213,1/23/2020 0:00,0,0,0,"113.9213,-0.7893",
, ,Iran,32,53,1/23/2020 0:00,0,0,0,"53,32",
, ,Iraq,33,44,1/23/2020 0:00,0,0,0,"44,33",
, ,Ireland,53.1424,-7.6921,1/23/2020 0:00,0,0,0,"-7.6921,53.1424",
, ,United Kingdom,55.3781,-3.436,1/23/2020 0:00,0,0,0,"-3.436,55.3781",
, ,Uruguay,-32.5228,-55.7658,1/23/2020 0:00,0,0,0,"-55.7658,-32.5228",
, ,Uzbekistan,41.3775,64.5853,1/23/2020 0:00,0,0,0,"64.5853,41.3775",
, ,Venezuela,6.4238,-66.5897,1/23/2020 0:00,0,0,0,"-66.5897,6.4238",
, ,Vietnam,16,108,1/23/2020 0:00,2,0,0,"108,16",
, ,West Bank and Gaza,31.9522,35.2332,1/23/2020 0:00,0,0,0,"35.2332,31.9522",
, ,Zambia,-15.4167,28.2833,1/23/2020 0:00,0,0,0,"28.2833,-15.4167",
, ,Zimbabwe,-20,30,1/23/2020 0:00,0,0,0,"30,-20",
, ,Afghanistan,33,65,1/24/2020 0:00,0,0,0,"65,33",
, ,Albania,41.1533,20.1683,1/24/2020 0:00,0,0,0,"20.1683,41.1533",
, ,Algeria,28.0339,1.6596,1/24/2020 0:00,0,0,0,"1.6596,28.0339",
, ,Andorra,42.5063,1.5218,1/24/2020 0:00,0,0,0,"1.5218,42.5063",
, ,Angola,-11.2027,17.8739,1/24/2020 0:00,0,0,0,"17.8739,-11.2027",
, ,Antigua and Barbuda,17.0608,-61.7964,1/24/2020 0:00,0,0,0,"-61.7964,17.0608",
, ,Argentina,-38.4161,-63.6167,1/24/2020 0:00,0,0,0,"-63.6167,-38.4161",
, ,Armenia,40.0691,45.0382,1/24/2020 0:00,0,0,0,"45.0382,40.0691",
,Australian Capital Territory,Australia,-35.4735,149.0124,1/24/2020 0:00,0,0,0,"149.0124,-35.4735",
,New South Wales,Australia,-33.8688,151.2093,1/24/2020 0:00,0,0,0,"151.2093,-33.8688",
,Northern Territory,Australia,-12.4634,130.8456,1/24/2020 0:00,0,0,0,"130.8456,-12.4634",
,Queensland,Australia,-28.0167,153.4,1/24/2020 0:00,0,0,0,"153.4,-28.0167",
,South Australia,Australia,-34.9285,138.6007,1/24/2020 0:00,0,0,0,"138.6007,-34.9285",
,Tasmania,Australia,-41.4545,145.9707,1/24/2020 0:00,0,0,1,"145.9707,-41.4545",
,Victoria,Australia,-37.8136,144.9631,1/24/2020 0:00,0,0,0,"144.9631,-37.8136",
,Western Australia,Australia,-31.9505,115.8605,1/24/2020 0:00,0,0,0,"115.8605,-31.9505",
, ,Austria,47.5162,14.5501,1/24/2020 0:00,0,0,0,"14.5501,47.5162",
, ,Azerbaijan,40.1431,47.5769,1/24/2020 0:00,0,0,2,"47.5769,40.1431",
, ,Bahamas,25.0343,-77.3963,1/24/2020 0:00,0,0,0,"-77.3963,25.0343",
, ,Bahrain,26.0275,50.55,1/24/2020 0:00,0,0,0,"50.55,26.0275",
, ,Bangladesh,23.685,90.3563,1/24/2020 0:00,0,0,0,"90.3563,23.685",
, ,Barbados,13.1939,-59.5432,1/24/2020 0:00,0,0,0,"-59.5432,13.1939",
, ,Belarus,53.7098,27.9534,1/24/2020 0:00,0,0,0,"27.9534,53.7098",
, ,Belgium,50.8333,4,1/24/2020 0:00,0,0,0,"4,50.8333",
, ,Belize,13.1939,-59.5432,1/24/2020 0:00,0,0,0,"-59.5432,13.1939",
, ,Benin,9.3077,2.3158,1/24/2020 0:00,0,0,0,"2.3158,9.3077",
, ,Bhutan,27.5142,90.4336,1/24/2020 0:00,0,0,31,"90.4336,27.5142",
, ,Bolivia,-16.2902,-63.5887,1/24/2020 0:00,0,0,0,"-63.5887,-16.2902",
, ,Bosnia and Herzegovina,43.9159,17.6791,1/24/2020 0:00,0,0,0,"17.6791,43.9159",
, ,Botswana,-22.3285,24.6849,1/24/2020 0:00,0,0,2,"24.6849,-22.3285",
, ,Brazil,-14.235,-51.9253,1/24/2020 0:00,0,0,0,"-51.9253,-14.235",
, ,Brunei,4.5353,114.7277,1/24/2020 0:00,0,0,0,"114.7277,4.5353",
, ,Bulgaria,42.7339,25.4858,1/24/2020 0:00,0,0,0,"25.4858,42.7339",
, ,Burkina Faso,12.2383,-1.5616,1/24/2020 0:00,0,0,0,"-1.5616,12.2383",
, ,Burma,21.9162,95.956,1/24/2020 0:00,0,0,0,"95.956,21.9162",
, ,Cabo Verde,16.5388,-23.0418,1/24/2020 0:00,0,0,0,"-23.0418,16.5388",
, ,Cambodia,11.55,104.9167,1/24/2020 0:00,0,0,0,"104.9167,11.55",
, ,Cameroon,3.848,11.5021,1/24/2020 0:00,0,0,0,"11.5021,3.848",
,Alberta,Canada,53.9333,-116.5765,1/24/2020 0:00,0,0,0,"-116.5765,53.9333",
,British Columbia,Canada,49.2827,-123.1207,1/24/2020 0:00,0,0,0,"-123.1207,49.2827",
,Diamond Princess,Canada,0,0,1/24/2020 0:00,0,0,0,"0,0",
,Grand Princess,Canada,37.6489,-122.6655,1/24/2020 0:00,0,0,1,"-122.6655,37.6489",
,Manitoba,Canada,53.7609,-98.8139,1/24/2020 0:00,0,0,0,"-98.8139,53.7609",
,New Brunswick,Canada,46.5653,-66.4619,1/24/2020 0:00,0,0,0,"-66.4619,46.5653",
,Newfoundland and Labrador,Canada,53.1355,-57.6604,1/24/2020 0:00,0,0,0,"-57.6604,53.1355",
,Northwest Territories,Canada,64.8255,-124.8457,1/24/2020 0:00,0,0,0,"-124.8457,64.8255",
,Nova Scotia,Canada,44.682,-63.7443,1/24/2020 0:00,0,0,0,"-63.7443,44.682",
,Ontario,Canada,51.2538,-85.3232,1/24/2020 0:00,0,0,0,"-85.3232,51.2538",
,Prince Edward Island,Canada,46.5107,-63.4168,1/24/2020 0:00,0,0,0,"-63.4168,46.5107",
,Quebec,Canada,52.9399,-73.5491,1/24/2020 0:00,0,0,1,"-73.5491,52.9399",
,Recovered,Canada,0,0,1/24/2020 0:00,0,0,0,"0,0",
,Saskatchewan,Canada,52.9399,-106.4509,1/24/2020 0:00,0,0,0,"-106.4509,52.9399",
,Yukon,Canada,64.2823,-135,1/24/2020 0:00,0,0,0,"-135,64.2823",
, ,Central African Republic,6.6111,20.9394,1/24/2020 0:00,0,0,0,"20.9394,6.6111",
