,UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Date,Confirmed
480,84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",3/10/2020,1
481,84009003,US,USA,840,9003,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",3/10/2020,0
482,84009005,US,USA,840,9005,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",3/10/2020,0
483,84009007,US,USA,840,9007,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",3/10/2020,0
484,84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",3/10/2020,0
485,84009011,US,USA,840,9011,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",3/10/2020,0
486,84009013,US,USA,840,9013,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",3/10/2020,0
487,84009015,US,USA,840,9015,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",3/10/2020,0
488,84080009,US,USA,840,80009,Out of CT,Connecticut,US,0,0,"Out of CT, Connecticut, US",3/10/2020,0
489,84090009,US,USA,840,90009,Unassigned,Connecticut,US,0,0,"Unassigned, Connecticut, US",3/10/2020,0
490,84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",3/11/2020,2
491,84009003,US,USA,840,9003,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",3/11/2020,0
492,84009005,US,USA,840,9005,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",3/11/2020,1
493,84009007,US,USA,840,9007,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",3/11/2020,0
494,84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",3/11/2020,0
495,84009011,US,USA,840,9011,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",3/11/2020,0
496,84009013,US,USA,840,9013,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",3/11/2020,0
497,84009015,US,USA,840,9015,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",3/11/2020,0
498,84080009,US,USA,840,80009,Out of CT,Connecticut,US,0,0,"Out of CT, Connecticut, US",3/11/2020,0
