Town,Nursing home,Licensed beds,Residents with COVID-19,COVID-19 associated deaths among residents (laboratory-confirmed),COVID-19 associated deaths among residents (probable),Location,LAT,LNG,Date
Avon,Apple Rehab Avon,60.00,7.00,1.00,0.00,"220 Scoville Rd, Avon, CT 06001, USA",41.78,-72.86,4/22/2020
Berlin,Ledgecrest Health Care,60.00,19.00,1.00,1.00,"154 Kensington Rd, Berlin, CT 06037, USA",41.63,-72.77,4/22/2020
Bethel,Bethel Health Care Center,161.00,37.00,4.00,3.00,"13 Park Lawn Dr, Bethel, CT 06801, USA",41.42,-73.40,4/22/2020
Bloomfield,Bloomfield Center for Nursing and Rehabilitation ,120.00,20.00,5.00,4.00,"355 Park Ave, Bloomfield, CT 06002, USA",41.82,-72.71,4/22/2020
Bloomfield,Caleb Hitchcock Health Center,60.00,5.00,1.00,0.00,"10 Loeffler Rd, Bloomfield, CT 06002, USA",41.83,-72.76,4/22/2020
Bloomfield,Seabury ,72.00,11.00,1.00,0.00,"Seabury Dr, Bloomfield, CT 06002, USA",41.83,-72.71,4/22/2020
Bloomfield,Touchpoints at Bloomfield,150.00,21.00,6.00,1.00,"140 Park Ave, Bloomfield, CT 06002, USA",41.82,-72.70,4/22/2020
Branford,Branford Hills Health Care Center,190.00,72.00,4.00,1.00,"189 Alps Rd #4771, Branford, CT 06405, USA",41.27,-72.85,4/22/2020
Bridgeport,Jewish Senior Services,294.00,37.00,8.00,1.00,"4200 Park Ave, Bridgeport, CT 06604, USA",41.21,-73.23,4/22/2020
Bridgeport,Northbridge Healthcare Center,145.00,29.00,4.00,2.00,"2875 Main St, Bridgeport, CT 06606, USA",41.20,-73.20,4/22/2020
Bridgeport,Springs at Watermark 3030 Park,23.00,7.00,2.00,0.00,"3030 Park Ave, Bridgeport, CT 06604, USA",41.20,-73.22,4/22/2020
Bristol,Countryside Manor of Bristol,90.00,29.00,8.00,0.00,"1660 Stafford Ave, Bristol, CT 06010, USA",41.72,-72.91,4/22/2020
Bristol,Sheridan Woods Health Care Center,146.00,68.00,22.00,2.00,"321 Stonecrest Dr, Bristol, CT 06010, USA",41.68,-72.92,4/22/2020
Canton,Cherry Brook Health Care Center,100.00,39.00,5.00,1.00,"102 Dyer Ave, Canton, CT 06019, USA",41.83,-72.92,4/22/2020
Cheshire,Elim Park Baptist Home,90.00,18.00,1.00,0.00,"150 Cook Hill Rd, Cheshire, CT 06410, USA",41.47,-72.90,4/22/2020
Chester,Aaron Manor Nursing and Rehabilitation,60.00,25.00,7.00,0.00,"3 S Wig Hill Rd, Chester, CT 06412, USA",41.40,-72.48,4/22/2020
Cromwell,Apple Rehab Cromwell,85.00,7.00,1.00,0.00,"156 Berlin Rd, Cromwell, CT 06416, USA",41.61,-72.71,4/22/2020
Danbury,Filosa Nursing & Rehabilitation ,64.00,2.00,0.00,0.00,"13 Hakim St, Danbury, CT 06810, USA",41.40,-73.47,4/22/2020
Danbury,Glen Hill Center,100.00,2.00,0.00,1.00,"1 Glen Hill Rd, Danbury, CT 06811, USA",41.41,-73.45,4/22/2020
Danbury,Saint John Paul II Center,141.00,28.00,2.00,0.00,"33 Lincoln Ave, Danbury, CT 06810, USA",41.39,-73.45,4/22/2020
Danbury,Western Rehabilitation Care Center,120.00,19.00,8.00,2.00,"107 Osborne St, Danbury, CT 06810, USA",41.40,-73.44,4/22/2020
East Hartford, Riverside Health & Rehabilitation Center ,345.00,60.00,15.00,12.00,"745 Main St, East Hartford, CT 06108, USA",41.77,-72.65,4/22/2020
East Haven,Apple Rehab Laurel Woods,120.00,16.00,1.00,2.00,"451 N High St, East Haven, CT 06512, USA",41.29,-72.87,4/22/2020
East Haven,Whispering Pines,90.00,38.00,11.00,9.00,"38 Talmadge Ave, East Haven, CT 06512, USA",41.26,-72.86,4/22/2020
East Windsor,Fresh River Healthcare,140.00,7.00,0.00,0.00,"96 Prospect Hill Rd, East Windsor, CT 06088, USA",41.93,-72.61,4/22/2020
Enfield,Parkway Pavilion Health and Rehabilitation Center,130.00,92.00,7.00,3.00,"1157 Enfield St, Enfield, CT 06082, USA",41.99,-72.59,4/22/2020
Fairfield,Cambridge Health and Rehabilitation Center,160.00,26.00,7.00,0.00,"2428 Easton Turnpike, Fairfield, CT 06825, USA",41.21,-73.25,4/22/2020
Fairfield,Carolton Chronic & Convalescent ,229.00,27.00,6.00,0.00,"400 Mill Plain Rd, Fairfield, CT 06824, USA",41.15,-73.27,4/22/2020
Fairfield,Ludlowe Center for Health & Rehabilitation,144.00,22.00,4.00,5.00,"118 Jefferson St, Fairfield, CT 06825, USA",41.22,-73.24,4/22/2020
Farmington,Touchpoints at Farmington,105.00,41.00,6.00,0.00,"20 Scott Swamp Rd, Farmington, CT 06032, USA",41.71,-72.85,4/22/2020
Glastonbury,Glastonbury Health Care Center,105.00,25.00,6.00,5.00,"1175 Hebron Ave, Glastonbury, CT 06033, USA",41.72,-72.57,4/22/2020
Glastonbury,Salmon Brook Rehab and Nursing,130.00,25.00,6.00,1.00,"72 Salmon Brook Dr, Glastonbury, CT 06033, USA",41.72,-72.60,4/22/2020
Greenwich,Greenwich Woods,217.00,16.00,5.00,1.00,"1165 King St, Greenwich, CT 06831, USA",41.06,-73.69,4/22/2020
Greenwich,Nathaniel Witherall,202.00,31.00,6.00,1.00,"70 Parsonage Rd, Greenwich, CT 06830, USA",41.06,-73.63,4/22/2020
Greenwich,RegalCare at Greenwich,75.00,5.00,1.00,0.00,"1188 King St, Greenwich, CT 06831, USA",41.06,-73.70,4/22/2020
Groton,Mystic Healthcare & Rehabilitation Center,100.00,15.00,2.00,0.00,"475 High St, Mystic, CT 06355, USA",41.36,-71.98,4/22/2020
Guilford,Apple Rehab Guilford,90.00,11.00,0.00,0.00,"10 Boston Post Rd, Guilford, CT 06437, USA",41.29,-72.65,4/22/2020
Guilford,Guilford House,75.00,1.00,0.00,0.00,"109 W Lake Ave, Guilford, CT 06437, USA",41.31,-72.72,4/22/2020
Hamden,Arden House ,360.00,30.00,7.00,0.00,"850 Mix Ave, Hamden, CT 06514, USA",41.38,-72.92,4/22/2020
Hamden,Hamden Rehabilitation & Health Care Center ,153.00,31.00,3.00,0.00,"1270 Sherman Ave, Hamden, CT 06514, USA",41.39,-72.92,4/22/2020
Hamden,Whitney Rehabilitation Care Center,150.00,24.00,1.00,0.00,"2798 Whitney Ave, Hamden, CT 06518, USA",41.40,-72.90,4/22/2020
Hartford,Avery Nursing Home/Noble Building,199.00,3.00,0.00,0.00,"550 Avery Heights, Hartford, CT 06106, USA",41.73,-72.71,4/22/2020
Hartford,Chelsea Place,234.00,24.00,6.00,6.00,"25 Lorraine St, Hartford, CT 06105, USA",41.77,-72.71,4/22/2020
Hartford,Trinity Hill Care Center,144.00,53.00,4.00,0.00,"151 Hillside Ave, Hartford, CT 06106, USA",41.75,-72.70,4/22/2020
Madison,Madison House,89.00,4.00,1.00,0.00,"34 Wildwood Ave, Madison, CT 06443, USA",41.29,-72.64,4/22/2020
Manchester,Crestfield Rehabilitation Center,155.00,20.00,4.00,0.00,"565 Vernon St, Manchester, CT 06042, USA",41.80,-72.49,4/22/2020
Manchester,Manchester Manor Health Care Center,126.00,18.00,0.00,0.00,"385 W Center St, Manchester, CT 06040, USA",41.77,-72.55,4/22/2020
Manchester,Touchpoints at Manchester,131.00,33.00,11.00,4.00,"333 Bidwell St, Manchester, CT 06040, USA",41.76,-72.55,4/22/2020
Manchester,Westside Care Center,162.00,1.00,0.00,0.00,"349 Bidwell St, Manchester, CT 06040, USA",41.76,-72.54,4/22/2020
Marlborough,Marlborough Health Care Center,120.00,5.00,0.00,0.00,"85 Stage Harbor Rd, Marlborough, CT 06447, USA",41.65,-72.48,4/22/2020
Meriden,Apple Rehab Coccomo,100.00,16.00,2.00,3.00,"33 Cone Ave, Meriden, CT 06450, USA",41.52,-72.75,4/22/2020
Meriden,Silver Springs Care Center,159.00,5.00,0.00,0.00,"33 Roy St, Meriden, CT 06450, USA",41.53,-72.80,4/22/2020
Meriden,The Curtis Home,60.00,8.00,1.00,0.00,"380 Crown St, Meriden, CT 06450, USA",41.53,-72.80,4/22/2020
Middletown,Apple Rehab Middletown,70.00,8.00,2.00,2.00,"600 Highland Ave, Middletown, CT 06457, USA",41.53,-72.66,4/22/2020
Middletown,Middlesex Health Care Center,150.00,25.00,5.00,1.00,"100 Randolph Rd, Middletown, CT 06457, USA",41.54,-72.62,4/22/2020
Middletown,Water's Edge Center for Health & Rehabilitation,150.00,15.00,1.00,1.00,"111 Church St, Middletown, CT 06457, USA",41.56,-72.65,4/22/2020
Milford,Golden Hill Rehab Pavilion,120.00,86.00,11.00,4.00,"2028 Bridgeport Ave, Milford, CT 06460, USA",41.22,-73.07,4/22/2020
Milford,Milford Health and Rehabilitation Center,120.00,55.00,9.00,0.00,"195 Platt St, Milford, CT 06460, USA",41.21,-73.02,4/22/2020
Milford,West River Rehab Center,120.00,14.00,1.00,0.00,"245 Orange Ave, Milford, CT 06461, USA",41.24,-73.05,4/22/2020
Naugatuck ,Beacon Brook Health Center ,126.00,1.00,0.00,0.00,"89 Weid Dr, Naugatuck, CT 06770, USA",41.47,-73.03,4/22/2020
Naugatuck ,Glendale Center,120.00,25.00,0.00,0.00,"4 Hazel Ave, Naugatuck, CT 06770, USA",41.47,-73.04,4/22/2020
New Britain,Cassena Care at New Britain ,90.00,1.00,0.00,0.00,"66 Clinic Dr, New Britain, CT 06051, USA",41.65,-72.79,4/22/2020
New Britain,Grandview Rehabilitation and Healthcare Center,160.00,36.00,7.00,2.00,"55 Grand St, New Britain, CT 06052, USA",41.66,-72.79,4/22/2020
New Canaan,Waveny Care Center,76.00,15.00,3.00,1.00,"3 Farm Rd, New Canaan, CT 06840, USA",41.13,-73.49,4/22/2020
New Haven,Grimes Center,114.00,58.00,2.00,0.00,"1354 Chapel St, New Haven, CT 06511, USA",41.31,-72.94,4/22/2020
