Town,Date,Cases,CaseRate,Deaths,PeopleTested,RateTested100k,Lat,Lon,ConfirmedCases_shifted_14_days,Cases added during 14 days
Sharon,3/24/2020,1,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,3/25/2020,1,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,3/26/2020,2,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,3/27/2020,2,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,3/28/2020,3,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,3/29/2020,3,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,3/30/2020,3,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,3/31/2020,3,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,4/1/2020,3,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,4/2/2020,4,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,4/3/2020,6,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,4/4/2020,6,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,4/5/2020,6,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,4/6/2020,6,0,0,0,0,41.8607607,-73.4492128,0,0
Sharon,4/7/2020,6,0,0,0,0,41.8607607,-73.4492128,1,5
Sharon,4/8/2020,6,0,0,0,0,41.8607607,-73.4492128,1,5
Sharon,4/9/2020,6,0,0,0,0,41.8607607,-73.4492128,2,4
Sharon,4/10/2020,7,0,0,0,0,41.8607607,-73.4492128,2,5
Sharon,4/11/2020,7,0,0,0,0,41.8607607,-73.4492128,3,4
Sharon,4/12/2020,8,0,0,0,0,41.8607607,-73.4492128,3,5
Sharon,4/13/2020,8,0,0,0,0,41.8607607,-73.4492128,3,5
Sharon,4/14/2020,8,0,0,0,0,41.8607607,-73.4492128,3,5
Sharon,4/15/2020,8,0,0,0,0,41.8607607,-73.4492128,3,5
Sharon,4/16/2020,10,370,0,0,0,41.8607607,-73.4492128,4,6
Sharon,4/17/2020,10,370,0,0,0,41.8607607,-73.4492128,6,4
Sharon,4/18/2020,10,370,0,0,0,41.8607607,-73.4492128,6,4
Sharon,4/19/2020,10,370,0,0,0,41.8607607,-73.4492128,6,4
Sharon,4/20/2020,10,370,0,0,0,41.8607607,-73.4492128,6,4
Sharon,4/21/2020,10,370,0,0,0,41.8607607,-73.4492128,6,4
Sharon,4/22/2020,11,407,0,0,0,41.8607607,-73.4492128,6,5
Sharon,4/23/2020,11,407,0,0,0,41.8607607,-73.4492128,6,5
Sharon,4/24/2020,12,444,1,0,0,41.8607607,-73.4492128,7,5
Sharon,4/25/2020,11,407,0,0,0,41.8607607,-73.4492128,7,4
Sharon,4/26/2020,11,407,0,0,0,41.8607607,-73.4492128,8,3
Sharon,4/27/2020,11,407,0,0,0,41.8607607,-73.4492128,8,3
