,Town,Cases,Date,Lat,Lon,Deaths,CaseRate,Daily_reported_cases,Daily_reported_cases_MA7
4099,Lisbon,0,2020-03-24,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
3981,Lisbon,2,2020-03-25,41.60276560000001,-72.01226109999998,0,0.0,2.0,0
3840,Lisbon,2,2020-03-26,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
3661,Lisbon,2,2020-03-27,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
3480,Lisbon,2,2020-03-28,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
3284,Lisbon,2,2020-03-29,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
3115,Lisbon,2,2020-03-30,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
2878,Lisbon,2,2020-03-31,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
2827,Lisbon,2,2020-04-01,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
2665,Lisbon,2,2020-04-02,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
2438,Lisbon,2,2020-04-03,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
2269,Lisbon,2,2020-04-04,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
2071,Lisbon,2,2020-04-05,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
1873,Lisbon,2,2020-04-06,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
1762,Lisbon,2,2020-04-07,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
1593,Lisbon,2,2020-04-08,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
1424,Lisbon,2,2020-04-09,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
1255,Lisbon,2,2020-04-10,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
1086,Lisbon,2,2020-04-11,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
917,Lisbon,2,2020-04-12,41.60276560000001,-72.01226109999998,0,0.0,0.0,0
748,Lisbon,5,2020-04-13,41.60276560000001,-72.01226109999998,0,0.0,3.0,0
579,Lisbon,6,2020-04-14,41.60276560000001,-72.01226109999998,0,0.0,1.0,0
410,Lisbon,4,2020-04-15,41.60276560000001,-72.01226109999998,0,0.0,-2.0,0
241,Lisbon,4,2020-04-16,41.60276560000001,-72.01226109999998,0,94.0,0.0,0
72,Lisbon,4,2020-04-17,41.60276560000001,-72.01226109999998,0,94.0,0.0,0
4297,Lisbon,4,2020-04-18,41.60276560000001,-72.01226109999998,0,94.0,0.0,0
4466,Lisbon,4,2020-04-19,41.60276560000001,-72.01226109999998,0,94.0,0.0,0
4635,Lisbon,4,2020-04-20,41.60276560000001,-72.01226109999998,0,94.0,0.0,0
4804,Lisbon,4,2020-04-21,41.60276560000001,-72.01226109999998,0,94.0,0.0,0
4973,Lisbon,4,2020-04-22,41.60276560000001,-72.01226109999998,0,94.0,0.0,0
5142,Lisbon,5,2020-04-23,41.60276560000001,-72.01226109999998,0,118.0,1.0,0
5311,Lisbon,5,2020-04-24,41.60276560000001,-72.01226109999998,0,118.0,0.0,0
4116,Bethany,0,2020-03-24,41.422964,-72.99418709999998,0,0.0,0.0,0
4012,Bethany,0,2020-03-25,41.422964,-72.99418709999998,0,0.0,0.0,0
3775,Bethany,0,2020-03-26,41.422964,-72.99418709999998,0,0.0,0.0,0
3596,Bethany,0,2020-03-27,41.422964,-72.99418709999998,0,0.0,0.0,0
3415,Bethany,0,2020-03-28,41.422964,-72.99418709999998,0,0.0,0.0,0
3218,Bethany,0,2020-03-29,41.422964,-72.99418709999998,0,0.0,0.0,0
3050,Bethany,0,2020-03-30,41.422964,-72.99418709999998,0,0.0,0.0,0
2982,Bethany,1,2020-03-31,41.422964,-72.99418709999998,0,0.0,1.0,0
2762,Bethany,1,2020-04-01,41.422964,-72.99418709999998,0,0.0,0.0,0
2570,Bethany,1,2020-04-02,41.422964,-72.99418709999998,0,0.0,0.0,0
2373,Bethany,3,2020-04-03,41.422964,-72.99418709999998,0,0.0,2.0,0
2204,Bethany,4,2020-04-04,41.422964,-72.99418709999998,0,0.0,1.0,0
2172,Bethany,4,2020-04-05,41.422964,-72.99418709999998,0,0.0,0.0,0
1949,Bethany,4,2020-04-06,41.422964,-72.99418709999998,0,0.0,0.0,0
1697,Bethany,4,2020-04-07,41.422964,-72.99418709999998,0,0.0,0.0,0
1528,Bethany,6,2020-04-08,41.422964,-72.99418709999998,0,0.0,2.0,0
1359,Bethany,6,2020-04-09,41.422964,-72.99418709999998,0,0.0,0.0,0
1190,Bethany,6,2020-04-10,41.422964,-72.99418709999998,0,0.0,0.0,0
1021,Bethany,6,2020-04-11,41.422964,-72.99418709999998,0,0.0,0.0,0
853,Bethany,9,2020-04-12,41.422964,-72.99418709999998,0,0.0,3.0,0
683,Bethany,8,2020-04-13,41.422964,-72.99418709999998,1,0.0,-1.0,0
514,Bethany,9,2020-04-14,41.422964,-72.99418709999998,1,0.0,1.0,0
345,Bethany,10,2020-04-15,41.422964,-72.99418709999998,1,0.0,1.0,0
176,Bethany,11,2020-04-16,41.422964,-72.99418709999998,1,201.0,1.0,0
7,Bethany,13,2020-04-17,41.422964,-72.99418709999998,1,237.0,2.0,1
4232,Bethany,14,2020-04-18,41.422964,-72.99418709999998,1,256.0,1.0,1
4401,Bethany,14,2020-04-19,41.422964,-72.99418709999998,1,256.0,0.0,0
