Town,Date,Cases,CaseRate,Deaths,PeopleTested,RateTested100k,Lat,Lon,ConfirmedCases_shifted_14_days,Cases added during 14 days,date-city index,Cases_COVID_19_in_Town_in_nursing,Death_COVID_19_in_Town_in_nursing,Cases (nursing excluded),Deaths (nursing excluded),Cases (nursing percent),Deaths (nursing percent)
Sharon,3/24/2020,1,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-03-24,,,,,,
Sharon,3/25/2020,1,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-03-25,,,,,,
Sharon,3/26/2020,2,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-03-26,,,,,,
Sharon,3/27/2020,2,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-03-27,,,,,,
Sharon,3/28/2020,3,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-03-28,,,,,,
Sharon,3/29/2020,3,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-03-29,,,,,,
Sharon,3/30/2020,3,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-03-30,,,,,,
Sharon,3/31/2020,3,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-03-31,,,,,,
Sharon,4/1/2020,3,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-04-01,,,,,,
Sharon,4/2/2020,4,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-04-02,,,,,,
Sharon,4/3/2020,6,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-04-03,,,,,,
Sharon,4/4/2020,6,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-04-04,,,,,,
Sharon,4/5/2020,6,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-04-05,,,,,,
Sharon,4/6/2020,6,0,0,0,0,41.8607607,-73.4492128,0,0,Sharon 2020-04-06,,,,,,
Sharon,4/7/2020,6,0,0,0,0,41.8607607,-73.4492128,1,5,Sharon 2020-04-07,,,,,,
Sharon,4/8/2020,6,0,0,0,0,41.8607607,-73.4492128,1,5,Sharon 2020-04-08,,,,,,
Sharon,4/9/2020,6,0,0,0,0,41.8607607,-73.4492128,2,4,Sharon 2020-04-09,,,,,,
Sharon,4/10/2020,7,0,0,0,0,41.8607607,-73.4492128,2,5,Sharon 2020-04-10,,,,,,
Sharon,4/11/2020,7,0,0,0,0,41.8607607,-73.4492128,3,4,Sharon 2020-04-11,,,,,,
Sharon,4/12/2020,8,0,0,0,0,41.8607607,-73.4492128,3,5,Sharon 2020-04-12,,,,,,
Sharon,4/13/2020,8,0,0,0,0,41.8607607,-73.4492128,3,5,Sharon 2020-04-13,,,,,,
Sharon,4/14/2020,8,0,0,0,0,41.8607607,-73.4492128,3,5,Sharon 2020-04-14,,,,,,
Sharon,4/15/2020,8,0,0,0,0,41.8607607,-73.4492128,3,5,Sharon 2020-04-15,,,,,,
Sharon,4/16/2020,10,370,0,0,0,41.8607607,-73.4492128,4,6,Sharon 2020-04-16,,,,,,
Sharon,4/17/2020,10,370,0,0,0,41.8607607,-73.4492128,6,4,Sharon 2020-04-17,,,,,,
Sharon,4/18/2020,10,370,0,0,0,41.8607607,-73.4492128,6,4,Sharon 2020-04-18,,,,,,
Sharon,4/19/2020,10,370,0,0,0,41.8607607,-73.4492128,6,4,Sharon 2020-04-19,,,,,,
Sharon,4/20/2020,10,370,0,0,0,41.8607607,-73.4492128,6,4,Sharon 2020-04-20,,,,,,
Sharon,4/21/2020,10,370,0,0,0,41.8607607,-73.4492128,6,4,Sharon 2020-04-21,,,,,,
Sharon,4/22/2020,11,407,0,0,0,41.8607607,-73.4492128,6,5,Sharon 2020-04-22,47,1,-36,-1,4.27,inf
Sharon,4/23/2020,11,407,0,0,0,41.8607607,-73.4492128,6,5,Sharon 2020-04-23,,,,,,
Sharon,4/24/2020,12,444,1,0,0,41.8607607,-73.4492128,7,5,Sharon 2020-04-24,,,,,,
Sharon,4/25/2020,11,407,0,0,0,41.8607607,-73.4492128,7,4,Sharon 2020-04-25,,,,,,
Sharon,4/26/2020,11,407,0,0,0,41.8607607,-73.4492128,8,3,Sharon 2020-04-26,,,,,,
Sharon,4/27/2020,11,407,0,0,0,41.8607607,-73.4492128,8,3,Sharon 2020-04-27,,,,,,
Sharon,4/28/2020,11,407,0,0,0,41.8607607,-73.4492128,8,3,Sharon 2020-04-28,,,,,,
Sharon,4/29/2020,11,407,0,0,0,41.8607607,-73.4492128,8,3,Sharon 2020-04-29,7,0,4,0,0.64,
Sharon,4/30/2020,13,481,0,0,0,41.8607607,-73.4492128,10,3,Sharon 2020-04-30,,,,,,
Sharon,5/1/2020,14,518,0,0,0,41.8607607,-73.4492128,10,4,Sharon 2020-05-01,,,,,,
Sharon,5/2/2020,15,555,0,0,0,41.8607607,-73.4492128,10,5,Sharon 2020-05-02,,,,,,
