,District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location,address_for_query,formatted_address,lat,lng
0,Chaplin School District,Chaplin School District,Public School Districts,240011,"Box 277, 304 Parish Hill",Chaplin,06235,860-455-9306,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0.0,,"Box 277, 304 Parish Hill, Chaplin, Connecticut, USA","304 Parish Hill Rd, Chaplin, CT 06235, USA",41.751669,-72.1049309
1,East Haddam School District,East Haddam School District,Public School Districts,410011,"Box 401, 1 Plains Road",Moodus,06469,860-873-5090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,,"Box 401, 1 Plains Road, Moodus, Connecticut, USA","1 Plains Rd #401, Moodus, CT 06469, USA",41.49866309999999,-72.44971590000002
2,Killingly School District,Killingly School District,Public School Districts,690011,"PO BOX 210, 79 Westfield Avenue",Danielson,06239,860-779-6600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,,"PO BOX 210, 79 Westfield Avenue, Danielson, Connecticut, USA","79 Westfield Ave #210, Danielson, CT 06239, USA",41.8127437,-71.8803867
3,New Haven School District,Beecher School,Public Schools,930311,100 Jewel Street,New Haven,06511,475-220-3800,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,1.0,,"100 Jewel Street, New Haven, Connecticut, USA","100 Jewell St, New Haven, CT 06515, USA",41.3261157,-72.9536403
4,Orange School District,Mary L. Tracy School,Public Schools,1070211,650 School House Lane,Orange,06477-2414,203-891-8028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1989-07-01T00:00:00.000,0.0,,"650 School House Lane, Orange, Connecticut, USA","650 Schoolhouse Ln, Orange, CT 06477, USA",41.2801155,-73.0260459
5,Windham School District,Windham Center School,Public Schools,1630511,"45 North Rd., P.O. Box 138",Windham,06280-0138,860-465-2440,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,,"45 North Rd., P.O. Box 138, Windham, Connecticut, USA","45 North Rd, Windham, CT 06280, USA",41.701566,-72.1612353
6,Connecticut Technical Education and Career System,Oliver Wolcott Technical High School,CT Technical Education and Career Schools,9002216,75 Oliver St.,Torrington,06790-3859,860-496-5300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0.0,"75 Oliver St.
Torrington, CT 06790-3859
(41.810103, -73.111698)","75 Oliver St., Torrington, Connecticut, USA","75 Oliver St, Torrington, CT 06790, USA",41.811456,-73.11174799999999
7,Connecticut Technical Education and Career System,Howell Cheney Technical High School,CT Technical Education and Career Schools,9001616,791 West Middle Tpke.,Manchester,06040,860-649-5396,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0.0,"791 West Middle Tpke.
Manchester, CT 06040
(41.780932, -72.561326)","791 West Middle Tpke., Manchester, Connecticut, USA","791 Middle Turnpike W, Manchester, CT 06040, USA",41.7821387,-72.5619815
8,Norwalk School District,Ponus Ridge Middle School,Public Schools,1035311,21 Hunters Lane,Norwalk,06850-2499,203-847-3557,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"21 Hunters Lane
Norwalk, CT 06850-2499
(41.122366, -73.443801)","21 Hunters Lane, Norwalk, Connecticut, USA","21 Hunters Ln, Norwalk, CT 06850, USA",41.1238239,-73.4405699
9,Wallingford School District,Lyman Hall High School,Public Schools,1486111,70 Pond Hill Road,Wallingford,06492-4809,203-294-5350,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"70 Pond Hill Road
Wallingford, CT 06492-4809
(41.436996, -72.821613)","70 Pond Hill Road, Wallingford, Connecticut, USA","70 Pond Hill Rd, Wallingford, CT 06492, USA",41.437635,-72.81849489999999
10,Bridgeport School District,Jettie S. Tisdale School,Public Schools,152211,250 Hollister Avenue,Bridgeport,06607,203-576-8037,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"250 Hollister Avenue
Bridgeport, CT 06607
(41.178933, -73.161141)","250 Hollister Avenue, Bridgeport, Connecticut, USA","250 Hollister Ave, Bridgeport, CT 06607, USA",41.1783274,-73.1600856
11,Regional School District 05,Amity Middle School: Bethany,Regional Schools,2055112,190 Luke Hill Rd.,Bethany,06524-3345,203-393-3102,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2002-07-01T00:00:00.000,0.0,"190 Luke Hill Rd.
Bethany, CT 06524-3345
(41.416597, -73.006559)","190 Luke Hill Rd., Bethany, Connecticut, USA","190 Luke Hill Rd, Bethany, CT 06524, USA",41.417692,-73.0063048
12,Stamford School District,Rippowam Middle School,Public Schools,1355811,381 High Ridge Rd.,Stamford,06905,203-977-5255,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2001-07-01T00:00:00.000,0.0,"381 High Ridge Rd.
Stamford, CT 06905
(41.084843, -73.5491)","381 High Ridge Rd., Stamford, Connecticut, USA","381 High Ridge Rd, Stamford, CT 06905, USA",41.0841936,-73.5468976
13,Norwalk School District,Norwalk Early Childhood Center,Public Schools,1030111,11 Allen Road,Norwalk,06851,203-945-0320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-08-31T00:00:00.000,,"11 Allen Road
Norwalk, CT 06851
(41.136989, -73.402522)","11 Allen Road, Norwalk, Connecticut, USA","11 Allen Rd, Norwalk, CT 06851, USA",41.1374934,-73.4017679
14,Wolcott School District,Wolcott High School,Public Schools,1666111,457 Bound Line Rd.,Wolcott,06716-2007,203-879-8164,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"457 Bound Line Rd.
Wolcott, CT 06716-2007
(41.60785, -72.976501)","457 Bound Line Rd., Wolcott, Connecticut, USA","457 Bound Line Rd, Wolcott, CT 06716, USA",41.6072278,-72.97908269999999
15,Hartford School District,Naylor/CCSU Leadership Academy,Public Schools,641411,639 Franklin Avenue,Hartford,06114-3030,860-695-4620,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"639 Franklin Avenue
Hartford, CT 06114-3030
(41.730999, -72.67424)","639 Franklin Avenue, Hartford, Connecticut, USA","639 Franklin Ave, Hartford, CT 06114, USA",41.7306099,-72.6752617
16,Colchester School District,William J. Johnston Middle School,Public Schools,285111,360 Norwich Ave.,Colchester,06415-1272,860-537-2313,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"360 Norwich Ave.
Colchester, CT 06415-1272
(41.575855, -72.319342)","360 Norwich Ave., Colchester, Connecticut, USA","360 Norwich Ave, Colchester, CT 06415, USA",41.5753074,-72.32043990000001
17,Judicial Centers,HAMILTON,State Agency Facilities,3481615,222 Bennett Street,Bridgeport,06604,203-690-5188,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2018-06-04T00:00:00.000,,"222 Bennett Street
Bridgeport, CT 06604
(41.158818, -73.230544)","222 Bennett Street, Bridgeport, Connecticut, USA","222 Bennett St, Bridgeport, CT 06605, USA",41.1589086,-73.23034489999999
18,Unified School District #1,Garner Correctional Institution,State Agency Facilities,3361915,50 Nunnawauk Road,Newtown,06470-2319,203-270-2897,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0.0,"50 Nunnawauk Road
Newtown, CT 06470-2319
(41.398566, -73.274852)","50 Nunnawauk Road, Newtown, Connecticut, USA","50 Nunnawauk Rd, Newtown, CT 06470, USA",41.397455,-73.272094
19,Somers School District,Mabelle B. Avery Middle School,Public Schools,1295111,1 Vision Boulevard,Somers,06071-9609,860-749-2270,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"1 Vision Boulevard
Somers, CT 06071-9609
(41.983753, -72.582)","1 Vision Boulevard, Somers, Connecticut, USA","1 Vision Blvd, Somers, CT 06071, USA",41.9762786,-72.4598398
20,Brookfield School District,Brookfield School District,Public School Districts,180011,100 Pocono Road,Brookfield,06804,203-775-7700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"100 Pocono Road
Brookfield, CT 06804
(41.466167, -73.397722)","100 Pocono Road, Brookfield, Connecticut, USA","100 Pocono Rd, Brookfield, CT 06804, USA",41.46625590000001,-73.39887279999999
