Town,Pop
Andover,3231
Ansonia,18721
Ashford,4261
Avon,18302
Barkhamsted,3624
Beacon Falls,6182
Berlin,20432
Bethany,5479
Bethel,19714
Bethlehem,3422
Bloomfield,21301
Bolton,4890
Bozrah,2537
Branford,28005
Bridgeport,144900
Bridgewater,1641
Bristol,60032
Brookfield,17002
Brooklyn,8280
Burlington,9665
Canaan,1055
Canterbury,5100
Canton,10270
Chaplin,2256
Cheshire,29179
Chester,4229
Clinton,12950
Colchester,15936
Colebrook,1405
Columbia,5385
Cornwall,1368
Coventry,12414
Cromwell,13905
Danbury,84730
Darien,21753
Deep River,4463
Derby,12515
Durham,7195
East Granby,5147
East Haddam,8988
East Hampton,12854
East Hartford,49998
East Haven,28699
East Lyme,18645
East Windsor,11375
Eastford,1790
Easton,7517
Ellington,16299
Enfield,44466
Essex,6674
Fairfield,61952
Farmington,25506
Franklin,1933
Glastonbury,34491
Goshen,2879
Granby,11375
Greenwich,62727
Griswold,11591
Groton,38692
Guilford,22216
Haddam,8222
Hamden,60940
Hampton,1853
Hartford,122587
Hartland,2120
Harwinton,5430
Hebron,9482
Kent,2785
Killingly,17287
Killingworth,6370
Lebanon,7207
Ledyard,14736
Lisbon,4248
Litchfield,8127
Lyme,2338
Madison,18106
Manchester,57699
Mansfield,25817
Marlborough,6358
Meriden,59540
Middlebury,7731
Middlefield,4380
Middletown,46146
Milford,54661
Monroe,19470
Montville,18716
Morris,2262
Naugatuck,31288
New Britain,72453
New Canaan,20213
New Fairfield,13877
New Hartford,6685
New Haven,130418
New London,26939
New Milford,26974
Newington,30112
Newtown,27774
Norfolk,1640
North Branford,14158
North Canaan,3254
North Haven,23691
North Stonington,5243
Norwalk,89047
Norwich,39136
Old Lyme,7366
Old Saybrook,10087
Orange,13949
Oxford,13226
Plainfield,15173
Plainville,17623
Plymouth,11645
Pomfret,4204
Portland,9305
Preston,4638
Prospect,9790
Putnam,9395
Redding,9125
Ridgefield,25008
Rocky Hill,20145
Roxbury,2160
Salem,4123
Salisbury,3598
Scotland,1685
Seymour,16509
Sharon,2703
Shelton,41097
Sherman,3614
Simsbury,24979
Somers,10834
South Windsor,26054
Southbury,19656
Southington,43807
Sprague,2889
Stafford,11884
Stamford,129775
Sterling,3780
Stonington,18449
Stratford,51967
Suffield,15743
Thomaston,7560
Thompson,9395
Tolland,14655
Torrington,34228
Trumbull,35802
Union,840
Vernon,29303
Voluntown,2535
Wallingford,44535
Warren,1399
Washington,3434
Waterbury,108093
Waterford,18887
Watertown,21641
West Hartford,62939
West Haven,54879
Westbrook,6914
Weston,10247
Westport,28115
Wethersfield,26082
Willington,5887
Wilton,18397
Winchester,10655
Windham,24706
Windsor,28760
Windsor Locks,12876
Wolcott,16649
Woodbridge,8805
Woodbury,9537
Woodstock,7862
