index,Town,Cases,Date,Lat,Lon
1852,Norwalk,625,4/7/2020,41.0927388,-73.4197955
2932,Windham,9,4/7/2020,41.7024192,-72.1700811
1511,Milford,113,4/7/2020,41.2240963,-73.0600308
1097,Haddam,2,4/7/2020,41.4812642,-72.5481469
2950,Windsor Locks,14,4/7/2020,41.9277901,-72.6516158
1475,Middlefield,2,4/7/2020,41.514163,-72.7178435
1403,Mansfield,3,4/7/2020,41.7892725,-72.2284642
1043,Griswold,3,4/7/2020,41.5847725,-71.9210907
89,Barkhamsted,2,4/7/2020,41.9357077,-72.9729214
1888,Old Lyme,3,4/7/2020,41.3123196,-72.3057421
1834,North Stonington,0,4/7/2020,41.4711838,-71.8723695
1079,Guilford,23,4/7/2020,41.3390267,-72.7060885
1061,Groton,8,4/7/2020,41.3475735,-72.0313358
1385,Manchester,87,4/7/2020,41.7752403,-72.524434
1493,Middletown,56,4/7/2020,41.5495338,-72.6577193
1457,Middlebury,11,4/7/2020,41.5246912,-73.1230162
1421,Marlborough,5,4/7/2020,41.636439,-72.4540018
1025,Greenwich,228,4/7/2020,41.0434601,-73.6284133
1870,Norwich,6,4/7/2020,41.5478603,-72.089488
1637,New Fairfield,61,4/7/2020,41.4820807,-73.4876199
1367,Madison,24,4/7/2020,41.3467492,-72.6254563
53,Ashford,4,4/7/2020,41.8971227,-72.1714268
1187,Harwinton,6,4/7/2020,41.7613447,-73.0604432
1709,New Milford,81,4/7/2020,41.6046401,-73.4211295
1205,Hebron,5,4/7/2020,41.6583378,-72.3934727
1583,Naugatuck,38,4/7/2020,41.488597,-73.0518819
1295,Ledyard,4,4/7/2020,41.4311315,-72.0203029
1691,New London,13,4/7/2020,41.3306073,-72.0939176
1313,Lisbon,2,4/7/2020,41.6027656,-72.0122611
3004,Woodbridge,16,4/7/2020,41.3635379,-73.0038921
1223,Kent,5,4/7/2020,41.729782,-73.45414
2986,Wolcott,14,4/7/2020,41.5963055,-72.9696244
1619,New Canaan,78,4/7/2020,41.1610538,-73.5011837
1241,Killingly,6,4/7/2020,41.8298656,-71.8490767
1655,New Hartford,3,4/7/2020,41.8410406,-72.9986804
1277,Lebanon,4,4/7/2020,41.632955,-72.2400896
1259,Killingworth,1,4/7/2020,41.3807395,-72.576659
1601,New Britain,66,4/7/2020,41.6765545,-72.7861613
1817,North Haven,29,4/7/2020,41.3813273,-72.8563475
1565,Morris,3,4/7/2020,41.6943221,-73.2099997
1169,Hartland,0,4/7/2020,42.0012054,-72.9540266
1115,Hamden,121,4/7/2020,41.397363,-72.9222116
3022,Woodbury,9,4/7/2020,41.5616321,-73.2060959
71,Avon,12,4/7/2020,41.7871585,-72.8520463
1799,North Canaan,1,4/7/2020,42.0222151,-73.2957158
1781,North Branford,13,4/7/2020,41.3638391,-72.7848682
1529,Monroe,19,4/7/2020,41.3392358,-73.2228275
1349,Lyme,1,4/7/2020,41.3986146,-72.3315456
1727,Newington,42,4/7/2020,41.6869935,-72.7308384
1133,Hampton,0,4/7/2020,41.7830301,-72.0645718
1763,Norfolk,1,4/7/2020,41.969912,-73.1784644
1547,Montville,3,4/7/2020,41.4638999,-72.1555701
1151,Hartford,165,4/7/2020,41.7660453,-72.6833394
1331,Litchfield,9,4/7/2020,41.7409544,-73.1927832
1745,Newtown,55,4/7/2020,41.3980947,-73.2931691
2968,Windsor,57,4/7/2020,41.8710365,-72.6750825
17,Andover,0,4/7/2020,41.7329821,-72.3746584
35,Ansonia,39,4/7/2020,41.3442494,-73.0698254
1673,New Haven,365,4/7/2020,41.3108088,-72.924953
2086,Putnam,1,4/7/2020,41.9080271,-71.8704519
1007,Granby,3,4/7/2020,41.9714802,-72.8301588
2788,West Haven,148,4/7/2020,41.2721217,-72.9674977
485,Clinton,11,4/7/2020,41.2951299,-72.5300394
2500,Suffield,23,4/7/2020,41.9999149,-72.6787509
2482,Stratford,120,4/7/2020,41.2054753,-73.128152
215,Bolton,5,4/7/2020,41.7645883,-72.4375755
503,Colchester,6,4/7/2020,41.5573768,-72.3442483
2464,Stonington,9,4/7/2020,41.3637981,-71.9113287
521,Colebrook,0,4/7/2020,42.0053727,-73.0637318
2446,Sterling,2,4/7/2020,41.7012,-71.8159882
539,Columbia,3,4/7/2020,41.6945271,-72.305414
2428,Stamford,1000,4/7/2020,41.0798566,-73.5460279
2806,Westbrook,5,4/7/2020,41.3036945,-72.4780168
557,Cornwall,1,4/7/2020,41.8496485,-73.3300949
2410,Stafford,29,4/7/2020,41.9838819,-72.3075749
575,Coventry,6,4/7/2020,41.7800989,-72.3440207
197,Bloomfield,47,4/7/2020,41.8449305,-72.7409509
2392,Sprague,0,4/7/2020,41.6355702,-72.0775268
593,Cromwell,15,4/7/2020,41.6165508,-72.6616042
2374,Southington,49,4/7/2020,41.606877,-72.8787842
611,Danbury,609,4/7/2020,41.4018389,-73.4722848
2356,Southbury,30,4/7/2020,41.476862,-73.2300815
2824,Weston,34,4/7/2020,41.2281028,-73.3667574
629,Darien,112,4/7/2020,41.0521498,-73.4797138
2518,Thomaston,16,4/7/2020,41.6648907,-73.0958729
467,Chester,9,4/7/2020,41.4096829,-72.4847352
2536,Thompson,2,4/7/2020,41.9902867,-71.8670243
449,Cheshire,33,4/7/2020,41.5118273,-72.9036174
287,Bridgewater,3,4/7/2020,41.520294,-73.3610927
269,Bridgeport,346,4/7/2020,41.1873858,-73.1957339
2716,Waterbury,299,4/7/2020,41.5585001,-73.0366845
305,Bristol,57,4/7/2020,41.6815776,-72.9407487
2698,Washington,11,4/7/2020,41.6561747,-73.3101747
323,Brookfield,88,4/7/2020,41.4698845,-73.3936666
2680,Warren,0,4/7/2020,41.7358548,-73.3428314
2662,Wallingford,36,4/7/2020,41.461989,-72.8055114
2752,Watertown,19,4/7/2020,41.6172439,-73.1143625
341,Brooklyn,2,4/7/2020,41.7872432,-71.9574015
2644,Voluntown,1,4/7/2020,41.5791925,-71.8312276
2338,South Windsor,18,4/7/2020,41.8380902,-72.5778358
251,Branford,54,4/7/2020,41.2795664,-72.7903506
2626,Vernon,24,4/7/2020,41.8375231,-72.4591228
377,Canaan,0,4/7/2020,41.9629594,-73.3071433
2608,Union,0,4/7/2020,42.005783,-72.158567
395,Canterbury,2,4/7/2020,41.695706,-72.003414
2590,Trumbull,60,4/7/2020,41.2728914,-73.2118988
2770,West Hartford,51,4/7/2020,41.7665678,-72.7549435
413,Canton,5,4/7/2020,41.8587259,-72.9108619
2572,Torrington,50,4/7/2020,41.8342549,-73.1315201
431,Chaplin,0,4/7/2020,41.7908895,-72.1295395
233,Bozrah,1,4/7/2020,41.5450583,-72.175228
2554,Tolland,13,4/7/2020,41.882488,-72.3590679
359,Burlington,6,4/7/2020,41.7575167,-72.9575607
1906,Old Saybrook,8,4/7/2020,41.2935043,-72.3835936
647,Deep River,5,4/7/2020,41.3678191,-72.4774422
179,Bethlehem,4,4/7/2020,41.6357676,-73.2114114
845,Easton,12,4/7/2020,41.2649447,-73.3004792
2734,Waterford,12,4/7/2020,41.3518196,-72.1468924
863,Ellington,10,4/7/2020,41.9151666,-72.4442938
2068,Prospect,15,4/7/2020,41.4992475,-72.9756347
881,Enfield,69,4/7/2020,41.983993,-72.5555531
2050,Preston,2,4/7/2020,41.5186523,-72.0065973
2896,Wilton,86,4/7/2020,41.2065319,-73.4376073
125,Berlin,24,4/7/2020,41.6054768,-72.7784592
899,Essex,5,4/7/2020,41.3473533,-72.4124122
2032,Portland,13,4/7/2020,41.5988341,-72.5890709
917,Fairfield,94,4/7/2020,41.1759399,-73.272046
2014,Pomfret,4,4/7/2020,41.8653744,-71.9791434
935,Farmington,33,4/7/2020,41.7304216,-72.8430509
1996,Plymouth,9,4/7/2020,41.6663976,-73.026515
953,Franklin,1,4/7/2020,41.6212115,-72.1426091
1978,Plainville,16,4/7/2020,41.6739923,-72.8544338
2914,Winchester,8,4/7/2020,41.9228687,-73.1099267
971,Glastonbury,35,4/7/2020,41.6918834,-72.5521735
107,Beacon Falls,12,4/7/2020,41.443685,-73.0519252
1960,Plainfield,3,4/7/2020,41.6973548,-71.8969643
1942,Oxford,24,4/7/2020,41.4440006,-73.1479992
