Town,Cases
Andover,0
Ansonia,25
Ashford,4
Avon,11
Barkhamsted,1
Beacon Falls,8
Berlin,14
Bethany,1
Bethel,39
Bethlehem,4
Bloomfield,20
Bolton,3
Bozrah,1
Branford,23
Bridgeport,115
Bridgewater,3
Bristol,18
Brookfield,59
Brooklyn,0
Burlington,5
Canaan,0
Canterbury,0
Canton,2
Chaplin,0
Cheshire,20
Chester,1
Clinton,7
Colchester,3
Colebrook,0
Columbia,2
Cornwall,1
Coventry,4
Cromwell,7
Danbury,231
Darien,77
Deep River,4
Derby,13
Durham,3
East Granby,2
East Haddam,2
East Hampton,4
East Hartford,26
East Haven,17
East Lyme,2
East Windsor,2
Eastford,1
Easton,5
Ellington,4
Enfield,38
Essex,2
Fairfield,51
Farmington,16
Franklin,1
Glastonbury,14
Goshen,1
Granby,1
Greenwich,170
Town,Cases
Griswold,1
Groton,2
Guilford,5
Haddam,1
Hamden,55
Hampton,0
Hartford,90
Hartland,0
Harwinton,4
Hebron,4
Kent,5
Killingly,2
Killingworth,1
Lebanon,2
Ledyard,2
Lisbon,2
Litchfield,4
Lyme,1
Madison,12
Manchester,36
Mansfield,1
Marlborough,3
Meriden,31
Middlebury,8
Middlefield,2
Middletown,29
Milford,23
Monroe,9
Montville,2
Morris,2
Naugatuck,13
New Britain,36
New Canaan,51
New Fairfield,32
New Hartford,3
New Haven,133
New London,3
New Milford,37
Newington,28
Newtown,33
Norfolk,1
North Branford,5
North Canaan,1
North Haven,10
North Stonington,0
Norwalk,330
Norwich,2
Old Lyme,1
Old Saybrook,5
Orange,8
Oxford,13
Plainfield,0
Plainville,10
Plymouth,3
Pomfret,2
Portland,4
Preston,1
Town,Cases
Prospect,8
Putnam,0
Redding,16
Ridgefield,78
Rocky Hill,22
Roxbury,3
Salem,0
Salisbury,3
Scotland,0
Seymour,17
Sharon,4
Shelton,59
Sherman,4
Simsbury,9
Somers,6
South Windsor,12
Southbury,14
Southington,27
Sprague,0
Stafford,19
Stamford,508
Sterling,0
Stonington,2
Stratford,38
Suffield,18
Thomaston,8
Thompson,1
Tolland,9
Torrington,24
Trumbull,22
Union,0
Vernon,14
Voluntown,1
Wallingford,18
Warren,0
Washington,10
Waterbury,105
Waterford,0
Watertown,11
West Hartford,24
West Haven,50
Westbrook,2
Weston,29
Westport,125
Wethersfield,22
Willington,1
Wilton,51
Winchester,2
Windham,5
Windsor,26
Windsor Locks,7
Wolcott,6
Woodbridge,6
Woodbury,6
Woodstock,6
