Town,Cases
Andover,0
Ansonia,35
Ashford,4
Avon,11
Barkhamsted,1
Beacon Falls,11
Berlin,17
Bethany,4
Bethel,61
Bethlehem,4
Bloomfield,33
Bolton,4
Bozrah,1
Branford,40
Bridgeport,163
Bridgewater,3
Bristol,27
Brookfield,81
Brooklyn,2
Burlington,6
Canaan,0
Canterbury,0
Canton,2
Chaplin,0
Cheshire,27
Chester,8
Clinton,7
Colchester,4
Colebrook,0
Columbia,2
Cornwall,1
Coventry,5
Cromwell,11
Danbury,470
Darien,100
Deep River,4
Derby,19
Durham,4
East Granby,2
East Haddam,5
East Hampton,4
East Hartford,40
East Haven,37
East Lyme,3
East Windsor,4
Eastford,1
Easton,6
Ellington,8
Enfield,45
Essex,4
Fairfield,70
Farmington,23
Franklin,1
Glastonbury,21
Goshen,1
Granby,2
Greenwich,196
Griswold,2
Groton,5
Guilford,15
Haddam,2
Hamden,84
Hampton,0
Hartford,125
Hartland,0
Harwinton,5
Hebron,4
Kent,5
Killingly,3
Killingworth,1
Lebanon,2
Ledyard,2
Lisbon,2
Litchfield,8
Lyme,1
Madison,17
Manchester,62
Mansfield,2
Marlborough,5
Meriden,47
Middlebury,10
Middlefield,2
Middletown,42
Milford,63
Monroe,10
Montville,2
Morris,3
Naugatuck,28
New Britain,49
New Canaan,65
New Fairfield,51
New Hartford,3
New Haven,234
New London,11
New Milford,65
Newington,35
Newtown,49
Norfolk,1
North Branford,11
North Canaan,1
North Haven,23
North Stonington,0
Norwalk,503
Norwich,5
Old Lyme,3
Old Saybrook,5
Orange,13
Oxford,21
Plainfield,3
Plainville,11
Plymouth,4
Pomfret,3
Portland,8
Preston,1
Prospect,12
Putnam,1
Redding,21
Ridgefield,101
Rocky Hill,29
Roxbury,3
Salem,0
Salisbury,4
Scotland,0
Seymour,27
Sharon,6
Shelton,113
Sherman,6
Simsbury,10
Somers,8
South Windsor,14
Southbury,21
Southington,37
Sprague,0
Stafford,27
Stamford,652
Sterling,0
Stonington,6
Stratford,58
Suffield,20
Thomaston,12
Thompson,1
Tolland,11
Torrington,32
Trumbull,34
Union,0
Vernon,21
Voluntown,1
Wallingford,23
Warren,0
Washington,8
Waterbury,236
Waterford,5
Watertown,15
West Hartford,36
West Haven,85
Westbrook,3
Weston,32
Westport,135
Wethersfield,26
Willington,2
Wilton,73
Winchester,3
Windham,7
Windsor,51
Windsor Locks,8
Wolcott,11
Woodbridge,8
Woodbury,9
Woodstock,7
